Состояние,Бренд,Модель,Процессор,Оперативная память (ГБ),Частота процессора,Количество ядер,Диагональ (дюйм),Разрешение экрана,Тип матрицы,Видеокарта,Тип,Назначение,Накопитель,Объем накопителя,ОС,Цвет,Емкость батареи,Доставка,Title,Link,Price
Б/у,Apple,,Intel Core i7,16,2.5 - 2.9 ГГц,4,15.4,2K (2880х1800),IPS,,Ультрабук,"Для работы, учебы",SSD,512 ГБ,Mac OS,Серебристый,,Самовывоз,"Apple Intel Core i7, 16 ГБ ОЗУ, 15.4 """,https://lalafo.kg/bishkek/ads/apple-intel-core-i7-16-gb-ozu-154-id-99324116,650 USD
Новый,Dell,Inspiron ,Intel Core i5,8,,,15.6,,,NVIDIA GeForce MX450,Ноутбук,Игровой,,,,Черный,,Бесплатная доставка,"Dell Inspiron Intel Core i5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/dell-inspiron-intel-core-i5-8-gb-ozu-156-id-97743628,55 000 KGS
Б/у,HP,,Intel Core i3,4,2.5 - 2.9 ГГц,4,15.6,HD (1366x768),TN+film,,Ультрабук,Игровой,HDD,512 ГБ,Windows,Коричневый,3500 - 4000 мАч,Самовывоз,"HP Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-intel-core-i3-4-gb-ozu-156-id-98125876,16 000 KGS
Новый,Dell,,Intel Core i7,,,4,,,,,Ноутбук,Игровой,,,,Черный,,,Dell Intel Core i7,https://lalafo.kg/bishkek/ads/dell-intel-core-i7-id-95479803,68 000 KGS
Б/у,Toshiba,С55,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),TN+film,Другая видеокарта,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Toshiba С55, Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/toshiba-s55-intel-core-i3-4-gb-ozu-156-id-99646465,16 500 KGS
,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,,14.3,Full HD (1920x1080),,,Ультрабук,,HDD,512 ГБ,Windows,,,,Ноутбук Lenovo Think Pad -модель-E480 -процессор-core,https://lalafo.kg/osh/ads/noutbuk-lenovo-think-pad-model-e480-processor-core-id-86159399,28 000 KGS
Б/у,Asus,X554,Intel Pentium,4,1.5 - 1.9 ГГц,4,15.6,HD (1366x768),TN+film,,Ультрабук,Игровой,HDD,512 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Asus X554, Intel Pentium, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-x554-intel-pentium-4-gb-ozu-156-id-97530760,18 000 KGS
Б/у,Dell,,Intel Core i5,8,Более 3 ГГц,4,15.6,Full HD (1920x1080),Другой тип матрицы,AMD Radeon 530 / 535,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,3500 - 4000 мАч,Самовывоз,"Dell Intel Core i5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/dell-intel-core-i5-8-gb-ozu-156-id-92244378,34 500 KGS
Б/у,Sony,VGN-TXN29,Intel Celeron,до 2,До 1.4 ГГц,До 2,До 11,2K (2560х1600),Другой тип матрицы,,Ноутбук,"Для работы, учебы",HDD,до 128 ГБ,Windows,Черный,До 3500 мАч,Самовывоз,"Sony VGN-TXN29, Intel Celeron, до 2 ГБ ОЗУ, До 11 """,https://lalafo.kg/bishkek/ads/sony-vgn-txn29-intel-celeron-do-2-gb-ozu-do-11-id-97483212,2 500 KGS
,Другой бренд ноутбука,,,,,,,,,,Ноутбук,Игровой,,,,,,,Скупка Ноутбуков в любом состоянии! Скупка Мониторов! •Высокая,https://lalafo.kg/bishkek/ads/skupka-noutbukov-v-lubom-sostoanii-skupka-monitorov-vysokaa-id-98727836,Договорная
Б/у,HP,,Intel Core i7,,,4,,,,,Ноутбук,Игровой,,,,Черный,,Самовывоз,HP Intel Core i7,https://lalafo.kg/bishkek/ads/hp-intel-core-i7-id-97882830,999 999 KGS
,Asus,,,,,,,,,,,,,,,,,,"Для быстрой и безопасной продажи вашей техники, Вы можете позвонить",https://lalafo.kg/bishkek/ads/dla-bystroj-i-bezopasnoj-prodazi-vasej-tehniki-vy-mozete-pozvonit-id-97733003,Договорная
Б/у,Acer,,Intel Core i7,,,4,,,,,Ноутбук,Игровой,,,,Черный,,Самовывоз,Acer Intel Core i7,https://lalafo.kg/bishkek/ads/acer-intel-core-i7-id-97882868,Договорная
Б/у,HP,,,,2.5 - 2.9 ГГц,2,15.6,,,,,"Для работы, учебы",HDD,,Windows,Бордовый,,Самовывоз,"HP 15.6 """,https://lalafo.kg/bishkek/ads/hp-156-id-99062140,8 499 KGS
Новый,,,,,,,,,,,Ноутбук,Игровой,,,,Черный,,Бесплатная доставка,Без первоначального взноса! телефоны! ноутбуки в кредит! от3х до12ти,https://lalafo.kg/bishkek/ads/bez-pervonacalnogo-vznosa-telefony-noutbuki-v-kredit-ot3h-do12ti-id-78008372,Договорная
Новый,Acer,,Intel Core i7,,,8,,,,,Ноутбук,Игровой,,,,,,Самовывоз,"Аренда ноутбуков прокат ноутбуков Новые, состояние идеальное",https://lalafo.kg/bishkek/ads/arenda-noutbukov-prokat-noutbukov-novye-sostoanie-idealnoe-id-80100543,500 KGS
,Apple,,,4,2.0 - 2.4 ГГц,,13.1,Full HD (1920x1080),,,Ноутбук,"Для работы, учебы",HDD + SSD,,Mac OS,Серебристый,,Бесплатная доставка,"Apple 4 ГБ ОЗУ, 13.1 """,https://lalafo.kg/bishkek/ads/apple-4-gb-ozu-131-id-98471483,13 000 KGS
Б/у,HP,,Intel Core i7,4,,4,13.1 - 14.0,,,,Ультрабук,Игровой,,,,,,Самовывоз,Продаётся ультрабук бизнес класса hp probook 430 g1 процессор intel,https://lalafo.kg/bishkek/ads/prodaetsa-ultrabuk-biznes-klassa-hp-probook-430-g1-processor-intel-id-95931108,28 000 KGS
,Acer,,,,,,,,,,,,,,,,,,"Cкупка ноутбуков и компьютеров i3, i5, i7, pentium, celeron звоните",https://lalafo.kg/bishkek/ads/ckupka-noutbukov-i-komputerov-i3-i5-i7-pentium-celeron-zvonite-id-51717500,80 000 KGS
Б/у,HP,,,,2.5 - 2.9 ГГц,2,15.6,,,,,"Для работы, учебы",HDD,,Windows,Бордовый,,Самовывоз,"HP 15.6 """,https://lalafo.kg/bishkek/ads/hp-156-id-99062140,8 499 KGS
Новый,,,,,,,,,,,Ноутбук,Игровой,,,,Черный,,Бесплатная доставка,Без первоначального взноса! телефоны! ноутбуки в кредит! от3х до12ти,https://lalafo.kg/bishkek/ads/bez-pervonacalnogo-vznosa-telefony-noutbuki-v-kredit-ot3h-do12ti-id-78008372,Договорная
Новый,Acer,,Intel Core i7,,,8,,,,,Ноутбук,Игровой,,,,,,Самовывоз,"Аренда ноутбуков прокат ноутбуков Новые, состояние идеальное",https://lalafo.kg/bishkek/ads/arenda-noutbukov-prokat-noutbukov-novye-sostoanie-idealnoe-id-80100543,500 KGS
,Apple,,,4,2.0 - 2.4 ГГц,,13.1,Full HD (1920x1080),,,Ноутбук,"Для работы, учебы",HDD + SSD,,Mac OS,Серебристый,,Бесплатная доставка,"Apple 4 ГБ ОЗУ, 13.1 """,https://lalafo.kg/bishkek/ads/apple-4-gb-ozu-131-id-98471483,13 000 KGS
Б/у,HP,,Intel Core i7,4,,4,13.1 - 14.0,,,,Ультрабук,Игровой,,,,,,Самовывоз,Продаётся ультрабук бизнес класса hp probook 430 g1 процессор intel,https://lalafo.kg/bishkek/ads/prodaetsa-ultrabuk-biznes-klassa-hp-probook-430-g1-processor-intel-id-95931108,28 000 KGS
,Acer,,,,,,,,,,,,,,,,,,"Cкупка ноутбуков и компьютеров i3, i5, i7, pentium, celeron звоните",https://lalafo.kg/bishkek/ads/ckupka-noutbukov-i-komputerov-i3-i5-i7-pentium-celeron-zvonite-id-51717500,80 000 KGS
Б/у,,,Intel Core i5,32 и больше,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,Черный,,Самовывоз,"Ноутбук Panasonic TOUGHBOOK CF-52 Диагональ экрана: 15.4 "" Линейка",https://lalafo.kg/bishkek/ads/noutbuk-panasonic-toughbook-cf-52-diagonal-ekrana-154-linejka-id-80020125,250 USD
Б/у,,,,,,,,,,,,,,,,,,,Продать б.У ноутбук на выгодных условиях мы хотим поделиться с вами,https://lalafo.kg/bishkek/ads/prodat-bu-noutbuk-na-vygodnyh-usloviah-my-hotim-podelitsa-s-vami-id-83909276,Договорная
Б/у,,,Intel Core i5,,,4,13.1 - 14.0,,,,Ноутбук,Игровой,,,,,,Самовывоз,"Скупаем интернет клубы, офисы it компании, по максимально высокой",https://lalafo.kg/bishkek/ads/skupaem-internet-kluby-ofisy-it-kompanii-po-maksimalno-vysokoj-id-68242795,Договорная
Б/у,,,,,,,,,,,Ноутбук,Игровой,,,,,,,Оценка по фото - Деньги сразу ! Оценим ноутбук в любом состоянии !,https://lalafo.kg/bishkek/ads/ocenka-po-foto-dengi-srazu-ocenim-noutbuk-v-lubom-sostoanii-id-95397920,Договорная
Б/у,,,,,,,,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,"Выкуп ноутбуков в любом состоянии!
Ноутбук сатып алабыз!",https://lalafo.kg/bishkek/ads/vykup-noutbukov-v-lubom-sostoanii-noutbuk-satyp-alabyz-id-79230292,30 000 KGS
Б/у,,,,,,,,,,,,,,,,,,,Оценим дорого - ноутбук - комьютер - комплектующие !! Фото на what's,https://lalafo.kg/orto-saiy/ads/ocenim-dorogo-noutbuk-komuter-komplektuusie-foto-na-whats-id-91325170,Договорная
Б/у,,,Intel Core i5,,,4,13.1 - 14.0,,,,Ноутбук,Игровой,,,,,,Самовывоз,"Скупаем интернет клубы, офисы it компании, по максимально высокой",https://lalafo.kg/bishkek/ads/skupaem-internet-kluby-ofisy-it-kompanii-po-maksimalno-vysokoj-id-68242795,Договорная
Б/у,,,,,,,,,,,Ноутбук,Игровой,,,,,,,Оценка по фото - Деньги сразу ! Оценим ноутбук в любом состоянии !,https://lalafo.kg/bishkek/ads/ocenka-po-foto-dengi-srazu-ocenim-noutbuk-v-lubom-sostoanii-id-95397920,Договорная
Б/у,,,,,,,,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,"Выкуп ноутбуков в любом состоянии!
Ноутбук сатып алабыз!",https://lalafo.kg/bishkek/ads/vykup-noutbukov-v-lubom-sostoanii-noutbuk-satyp-alabyz-id-79230292,30 000 KGS
Б/у,,,,,,,,,,,,,,,,,,,Оценим дорого - ноутбук - комьютер - комплектующие !! Фото на what's,https://lalafo.kg/orto-saiy/ads/ocenim-dorogo-noutbuk-komuter-komplektuusie-foto-na-whats-id-91325170,Договорная
Б/у,Asus,,Intel Core i3,6 - 8,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,,,Самовывоз,Продаётся ноутбук Asus x540 процессор intel core i3-5005U 2,https://lalafo.kg/bishkek/ads/prodaetsa-noutbuk-asus-x540-processor-intel-core-i3-5005u-2-id-95858150,30 000 KGS
Б/у,,,,,,,,,,,,,,,,,,,Срочный выкуп ноутбуков в любом состоянии! - Максимальная цена ! -,https://lalafo.kg/bishkek/ads/srocnyj-vykup-noutbukov-v-lubom-sostoanii-maksimalnaa-cena-id-41659928,Договорная
Б/у,Lenovo,,Intel Core i7,6 - 8,,4,14.1 - 15.6,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,Продаю ноутбук lenovo i7 (сост отл) -модель-e40-80,https://lalafo.kg/bishkek/ads/prodau-noutbuk-lenovo-i7-sost-otl-model-e40-80-id-95711646,32 999 KGS
Б/у,Dell,,Intel Core i3,4,,4,13.1 - 14.0,,,,Ноутбук,Игровой,,,,,,Самовывоз,"Ноутбук DELL Диагональ экрана: 13.3 "" Линейка процессора: Intel Core",https://lalafo.kg/bishkek/ads/noutbuk-dell-diagonal-ekrana-133-linejka-processora-intel-core-id-79988308,11 000 KGS
,,,,,,,,,,,Ноутбук,Игровой,,,,,,,Скупка ноутбуков. Быстрая оценка. В центре города. Расчет сразу. -,https://lalafo.kg/bishkek/ads/skupka-noutbukov-bystraa-ocenka-v-centre-goroda-rascet-srazu-id-93038991,Договорная
Б/у,Asus,Intel atom Eee PC,,,,,,,,,Нетбук,"Для работы, учебы",,,,Черный,,Самовывоз,Asus Intel atom Eee PC,https://lalafo.kg/bishkek/ads/asus-intel-atom-eee-pc-id-98435963,12 000 KGS
Новый,Lenovo,IDEAPAD ,Intel Core i3,8,,4,,,,,Ноутбук,"Для работы, учебы",SSD,,,Серебристый,,,"Lenovo IDEAPAD Intel Core i3, 8 ГБ ОЗУ",https://lalafo.kg/osh/ads/lenovo-ideapad-intel-core-i3-8-gb-ozu-id-89983748,Договорная
,Dell,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,,,,Ноутбук,"Для работы, учебы",HDD,1 ТБ,Windows,,,Самовывоз,Продаю ноутбук Dell i3 (сост отл) -процессор-Intel Core i3-7020U @,https://lalafo.kg/bishkek/ads/prodau-noutbuk-dell-i3-sost-otl-processor-intel-core-i3-7020u-id-95822885,24 000 KGS
Б/у,Другой бренд ноутбука,,,,,,,,,,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Черный,,Самовывоз,Куплю ноутбук хороший ниже рыночной цены. Скидывайте варианты,https://lalafo.kg/bishkek/ads/-id-96591163,20 000 KGS
Б/у,Acer,,,,,,,,,,,"Для работы, учебы",,,,,,,"Срочно куплю ноутбуки Офисные игровые ноутбуки Рабочии, глюченные",https://lalafo.kg/bishkek/ads/srocno-kuplu-noutbuki-ofisnye-igrovye-noutbuki-rabocii-glucennye-id-98078421,Договорная
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Б/у,Fujitsu,lifebook ,Intel Core i3,4,2.5 - 2.9 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,4000 - 5000 мАч,Бесплатная доставка,"Fujitsu lifebook Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/fujitsu-lifebook-intel-core-i3-4-gb-ozu-156-id-97715523,9 500 KGS
Б/у,Asus,,Intel Core i7,16,Более 3 ГГц,4,15.6,4K (3840х2160),IPS,NVIDIA GeForce GTX 1070,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Черный,5000 - 6000 мАч,,"Asus Intel Core i7, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-intel-core-i7-16-gb-ozu-156-id-94179678,68 000 KGS
Б/у,Lenovo,Y50-70,Intel Core i5,8,2.5 - 2.9 ГГц,,,,,,Ноутбук,Игровой,HDD,более 1 ТБ,Windows,Черный,,,"Lenovo Y50-70, Intel Core i5, 8 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/lenovo-y50-70-intel-core-i5-8-gb-ozu-id-93457432,30 000 KGS
Б/у,Asus,,Intel Core i3,,,2,,,,,Ультрабук,"Для работы, учебы",,,,,,Самовывоз,"ASUS S500CA. Ультрабук Асус, IntelCore i3-3217U 1800MHz, 8Гб",https://lalafo.kg/bishkek/ads/asus-s500ca-ultrabuk-asus-intelcore-i3-3217u-1800mhz-8gb-id-93317945,25 000 KGS
Б/у,HP,,Другой процессор,6,,,,,,,Ноутбук,Для несложных задач,,512 ГБ,,Черный,,,"HP Другой процессор, 6 ГБ ОЗУ",https://lalafo.kg/malovodnoe/ads/hp-drugoj-processor-6-gb-ozu-id-99680310,Договорная
Б/у,Apple,air2018,Intel Core i5,8,,2,13.3,2K (2560х1600),IPS,Другая видеокарта,Ноутбук,Игровой,SSD,128 ГБ,Mac OS,Серый,4000 - 5000 мАч,Самовывоз,"Apple air2018, Intel Core i5, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-air2018-intel-core-i5-8-gb-ozu-133-id-93413478,63 000 KGS
Новый,Acer,nitro 5,Intel Core i5,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,более 1 ТБ,Windows,Черный,4000 - 5000 мАч,Бесплатная доставка,"Acer nitro 5, Intel Core i5, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-nitro-5-intel-core-i5-16-gb-ozu-156-id-93219149,85 600 KGS
Б/у,Другой бренд ноутбука,,,,,,,,,,Ноутбук,Игровой,Другой тип накопителя,,,,,Самовывоз,"Куплю ноутбук в любом состоянии на запчасти 
Ноутбук сатып алам",https://lalafo.kg/osh/ads/kuplu-noutbuk-v-lubom-sostoanii-na-zapcasti-noutbuk-satyp-alam-id-77472653,500 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Б/у,Lenovo,Y50-70,Intel Core i5,8,2.5 - 2.9 ГГц,,,,,,Ноутбук,Игровой,HDD,более 1 ТБ,Windows,Черный,,,"Lenovo Y50-70, Intel Core i5, 8 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/lenovo-y50-70-intel-core-i5-8-gb-ozu-id-93457432,30 000 KGS
Б/у,Asus,,Intel Core i3,,,2,,,,,Ультрабук,"Для работы, учебы",,,,,,Самовывоз,"ASUS S500CA. Ультрабук Асус, IntelCore i3-3217U 1800MHz, 8Гб",https://lalafo.kg/bishkek/ads/asus-s500ca-ultrabuk-asus-intelcore-i3-3217u-1800mhz-8gb-id-93317945,25 000 KGS
Б/у,HP,,Другой процессор,6,,,,,,,Ноутбук,Для несложных задач,,512 ГБ,,Черный,,,"HP Другой процессор, 6 ГБ ОЗУ",https://lalafo.kg/malovodnoe/ads/hp-drugoj-processor-6-gb-ozu-id-99680310,Договорная
Б/у,Apple,air2018,Intel Core i5,8,,2,13.3,2K (2560х1600),IPS,Другая видеокарта,Ноутбук,Игровой,SSD,128 ГБ,Mac OS,Серый,4000 - 5000 мАч,Самовывоз,"Apple air2018, Intel Core i5, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-air2018-intel-core-i5-8-gb-ozu-133-id-93413478,63 000 KGS
Новый,Acer,nitro 5,Intel Core i5,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,более 1 ТБ,Windows,Черный,4000 - 5000 мАч,Бесплатная доставка,"Acer nitro 5, Intel Core i5, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-nitro-5-intel-core-i5-16-gb-ozu-156-id-93219149,85 600 KGS
Б/у,Другой бренд ноутбука,,,,,,,,,,Ноутбук,Игровой,Другой тип накопителя,,,,,Самовывоз,"Куплю ноутбук в любом состоянии на запчасти 
Ноутбук сатып алам",https://lalafo.kg/osh/ads/kuplu-noutbuk-v-lubom-sostoanii-na-zapcasti-noutbuk-satyp-alam-id-77472653,500 KGS
Б/у,Fujitsu,,,12,,2,15,,,,Ноутбук,Для несложных задач,SSD,до 128 ГБ,Windows,Черный,,Самовывоз,"Fujitsu 12 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/fujitsu-12-gb-ozu-15-id-73443805,15 000 KGS
Б/у,LG,,,,,,,,,,,,,,,Черный,,Самовывоз,LG,https://lalafo.kg/dzhalal-abad/ads/lg-id-99679577,5 000 KGS
Новый,Lenovo,,Intel Core i3,4,,2,,,,,Ноутбук,Игровой,,,,,,Бесплатная доставка,Продаю абсолютно новый ноутбук С упаковки Покупали с sulpak Основные,https://lalafo.kg/bishkek/ads/prodau-absolutno-novyj-noutbuk-s-upakovki-pokupali-s-sulpak-osnovnye-id-96480406,53 000 KGS
Б/у,HP,Hp 250 G6,Intel Core i3,4,2.5 - 2.9 ГГц,4,15.6,Full HD (1920x1080),TN+film,,Ультрабук,Игровой,HDD,512 ГБ,Windows,Серый,3500 - 4000 мАч,Самовывоз,"HP Hp 250 G6, Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-hp-250-g6-intel-core-i3-4-gb-ozu-156-id-97321993,30 000 KGS
Б/у,HP,,,,,,,,,,,,,,,,,,Продаю ноутбук hp Характеристики: видеокарта HD Graphics 4600,https://lalafo.kg/bishkek/ads/prodau-noutbuk-hp-harakteristiki-videokarta-hd-graphics-4600-id-56649567,18 000 KGS
Новый,Apple,,,,,,,,,,Ноутбук,Игровой,,512 ГБ,Mac OS,Серый,,Самовывоз,Apple,https://lalafo.kg/bishkek/ads/apple-id-85237545,780 USD
Б/у,Asus,N,Intel Core i7,16,2.5 - 2.9 ГГц,8,15.6,Full HD (1920x1080),Другой тип матрицы,,Ноутбук,Игровой,HDD + SSD,1 ТБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Asus N, Intel Core i7, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-n-intel-core-i7-16-gb-ozu-156-id-88337945,47 000 KGS
